"FrameID"	"Accession1"	"Accession2"
GDQC-14420	"Zm00001d002680_T003.1"	
GDQC-9411	"Zm00001d002682_T001.1"	
GDQC-9541	"Zm00001d002684_T001.1"	
GDQC-12322	"Zm00001d002685_T001.1"	
GDQC-11547	"Zm00001d002687_T001.1"	
GDQC-10814	"Zm00001d002694_T004.1"	
GDQC-10646	"Zm00001d002704_T001.1"	
GDQC-9305	"Zm00001d002705_T002.1"	
GDQC-12998	"Zm00001d002707_T001.1"	
GDQC-11209	"Zm00001d002708_T001.1"	
GDQC-12934	"Zm00001d002711_T001.1"	
GDQC-14542	"Zm00001d002724_T001.1"	
GDQC-10964	"Zm00001d002726_T002.1"	
GDQC-13754	"Zm00001d002727_T002.1"	
GDQC-11526	"Zm00001d002728_T002.1"	
GDQC-10664	"Zm00001d002729_T001.1"	
GDQC-11898	"Zm00001d002734_T001.1"	
GDQC-14054	"Zm00001d002736_T001.1"	
GDQC-11742	"Zm00001d002741_T001.1"	
GDQC-12554	"Zm00001d002751_T001.1"	
GDQC-10652	"Zm00001d002753_T001.1"	
GDQC-11359	"Zm00001d002755_T001.1"	
GDQC-10606	"Zm00001d002759_T001.1"	
GDQC-7875	"Zm00001d002769_T001.1"	
GDQC-10253	"Zm00001d002791_T002.1"	
GDQC-9424	"Zm00001d002830_T001.1"	
GDQC-9494	"Zm00001d002837_T001.1"	
GDQC-14727	"Zm00001d002838_T001.1"	
GDQC-8292	"Zm00001d002845_T001.1"	
GDQC-10402	"Zm00001d002847_T001.1"	
GDQC-8785	"Zm00001d002848_T001.1"	
GDQC-12173	"Zm00001d002851_T001.1"	
GDQC-13448	"Zm00001d002852_T001.1"	
GDQC-8236	"Zm00001d002853_T001.1"	
GDQC-12520	"Zm00001d002859_T001.1"	
GDQC-11813	"Zm00001d002868_T001.1"	
GDQC-10971	"Zm00001d002871_T001.1"	
GDQC-9058	"Zm00001d002880_T001.1"	
GDQC-12906	"Zm00001d002889_T002.1"	
GDQC-13774	"Zm00001d002897_T001.1"	
GDQC-8982	"Zm00001d002898_T001.1"	
GDQC-11780	"Zm00001d002899_T001.1"	
GDQC-11982	"Zm00001d002901_T001.1"	
GDQC-7992	"Zm00001d002902_T001.1"	
GDQC-7967	"Zm00001d002912_T001.1"	
GDQC-11779	"Zm00001d002916_T001.1"	
GDQC-13567	"Zm00001d002922_T001.1"	
GDQC-13193	"Zm00001d002937_T004.1"	
